gbif_id,scientific_name,event_date,year,month,latitude,longitude,coordinate_uncertainty_m,county,locality,basis_of_record,dataset_key,individual_count,issue_flags
6130009240,"Alligator mississippiensis (Daudin, 1801)",2026-01-08T14:16,2026.0,1.0,33.755065,-90.165735,13.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6130656920,"Alligator mississippiensis (Daudin, 1801)",2026-01-19T19:28:02,2026.0,1.0,31.397773,-91.565923,2667.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6159196519,"Alligator mississippiensis (Daudin, 1801)",2026-01-11T15:04,2026.0,1.0,31.303837,-91.598261,29252.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6159409894,"Alligator mississippiensis (Daudin, 1801)",2026-01-11T15:02,2026.0,1.0,31.234617,-91.451907,29252.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6159424364,"Alligator mississippiensis (Daudin, 1801)",2026-01-11T14:50,2026.0,1.0,31.300689,-91.435504,29252.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6159188398,"Alligator mississippiensis (Daudin, 1801)",2026-02-12T11:26,2026.0,2.0,30.468343,-88.60187,29356.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND,MULTIMEDIA_DATE_INVALID"
6162902245,"Alligator mississippiensis (Daudin, 1801)",2026-02-18T10:50,2026.0,2.0,30.379189,-88.635792,617.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6171410689,"Alligator mississippiensis (Daudin, 1801)",2026-02-28T17:00:36,2026.0,2.0,33.500681,-88.432206,71.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6179355308,"Alligator mississippiensis (Daudin, 1801)",2026-02-27T18:03,2026.0,2.0,30.451698,-88.678104,29356.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6178381249,"Alligator mississippiensis (Daudin, 1801)",2026-03-09T15:11:51,2026.0,3.0,30.400947,-88.755275,,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6178458927,"Alligator mississippiensis (Daudin, 1801)",2026-03-07,2026.0,3.0,30.397939,-88.790649,99.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND,MULTIMEDIA_DATE_INVALID"
6178764526,"Alligator mississippiensis (Daudin, 1801)",2026-03-09T16:05:55,2026.0,3.0,30.398066,-88.790085,6.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6178874477,"Alligator mississippiensis (Daudin, 1801)",2026-03-10T18:20:02,2026.0,3.0,33.262667,-88.778267,,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6178876140,"Alligator mississippiensis (Daudin, 1801)",2026-03-09T15:12:13,2026.0,3.0,30.401569,-88.754857,366.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6179263742,"Alligator mississippiensis (Daudin, 1801)",2026-03-04T16:09:42,2026.0,3.0,33.361536,-88.816397,28984.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6179339016,"Alligator mississippiensis (Daudin, 1801)",2026-03-06T11:39:03,2026.0,3.0,32.578494,-89.869758,98.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6185249315,"Alligator mississippiensis (Daudin, 1801)",2026-03-20T14:56:12,2026.0,3.0,32.329289,-90.149014,,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6185488419,"Alligator mississippiensis (Daudin, 1801)",2026-03-29T10:34:50,2026.0,3.0,32.57935,-89.821037,2.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6185651639,"Alligator mississippiensis (Daudin, 1801)",2026-03-28T13:06,2026.0,3.0,32.328486,-90.147889,13.0,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6185713775,"Alligator mississippiensis (Daudin, 1801)",2026-03-29T12:40:18,2026.0,3.0,30.436567,-88.434975,,,,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
